Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
The Shawshank Redemption,1994,142,R,25000000,28767189,727327,1994-09-25 00:00:00,29330423,,Dolby Digital,1.85 : 1
The Godfather Part II,1974,202,R,13000000,47834595,171417,2019-11-10 00:00:00,47962897,Color,Dolby Digital,1.85 : 1
Fight Club,1999,139,R,63000000,37030102,11035485,1999-10-17 00:00:00,101320107,Color,Dolby Digital,2.39 : 1
Goodfellas,1990,145,R,25000000,46909721,6368901,1990-09-23 00:00:00,47049784,Color,Dolby SR,1.85 : 1
It's a Wonderful Life,1946,130,PG,3180000,1483643,44000,2020-12-20 00:00:00,9767242,,,
Seven Samurai,1954,207,Not Rated,125000000,318649,15942,2002-07-28 00:00:00,346258,Black and White,Mono,1.37 : 1
City of God,2002,130,R,3300000,7564459,88292,2003-01-19 00:00:00,30680793,Color,Dolby Digital SDDS,1.85 : 1
The Pianist,2002,150,R,35000000,32590750,111261,2002-12-29 00:00:00,120098945,Color,DTS Dolby Digital,1.85 : 1
Léon: The Professional,1994,110,R,115000000,19501238,5306558,1994-11-20 00:00:00,20275438,Color,Dolby Digital Dolby Atmos,2.39 : 1
American History X,1998,119,R,20000000,6719864,156076,1998-11-01 00:00:00,23875714,Color,Dolby Digital,1.85 : 1
Whiplash,2014,106,R,3300000,13092000,135388,2014-10-12 00:00:00,49449489,Color,Dolby Digital SDDS Datasat Dolby Atmos,2.39 : 1
Grave of the Fireflies,1988,89,Not Rated,3700000,516962,158101,2018-08-12 00:00:00,519421,Color,Dolby Stereo Stereo,1.85 : 1
The Usual Suspects,1995,106,R,6000000,23341568,645363,1995-08-20 00:00:00,23341568,,,
Casablanca,1942,102,PG,950000,4219709,181494,1992-04-12 00:00:00,4663702,,,
Cinema Paradiso,1988,174,PG,5000000,12397210,16552,1990-02-04 00:00:00,13020497,Color,Mono,1.66 : 1
Modern Times,1936,87,G,1500000,163577,35809,2003-12-28 00:00:00,463618,Black and White,Silent,1.37 : 1
City Lights,1931,87,G,1500000,19181,9102,2007-07-08 00:00:00,50419,,,
Memento,2000,113,R,9000000,25544867,235488,2001-03-18 00:00:00,40047236,Color Black and White,Dolby Digital,2.39 : 1
The Lives of Others,2006,137,R,2000000,11286112,223000,2007-02-11 00:00:00,77357476,Color,Dolby Digital,2.39 : 1
Sunset Boulevard,1950,110,Approved,1752000,299645,169067,2018-05-13 00:00:00,304474,,,
The Shining,1980,146,R,19000000,45634352,622337,1980-05-26 00:00:00,47516353,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,1800000,9440272,11751,1994-07-17 00:00:00,9631984,,,
Oldboy,2003,120,R,3000000,2458200,68957,2005-03-27 00:00:00,17542965,Color,Dolby Digital Dolby Surround 7.1 Dolby Digital EX DTS,2.35 : 1
Das Boot,1981,149,Not Rated,32000000,11487676,26994,1982-02-14 00:00:00,11488778,,,
Once Upon a Time in America,1984,229,R,30000000,5321508,2412014,1984-06-03 00:00:00,5475086,Color,Mono Dolby Digital,1.85 : 1
Singin' in the Rain,1952,103,G,2540800,1884537,13643,2002-11-10 00:00:00,2086028,Color Black and White,Dolby Digital,1.37 : 1
Capernaum,2018,126,R,4000000,1661096,24988,2018-12-16 00:00:00,64417003,Color,Dolby Digital,2.35 : 1
Requiem for a Dream,2000,102,NC-17,4500000,3635482,64770,2000-10-08 00:00:00,7390108,Color,Dolby Surround 7.1 Dolby Digital Dolby Atmos,1.85 : 1
Eternal Sunshine of the Spotless Mind,2004,108,R,20000000,34400301,8175198,2004-03-21 00:00:00,73393152,Color,DTS Dolby SDDS,1.85 : 1
The Hunt,2012,115,R,20000000,613308,43045,2013-07-14 00:00:00,15886373,Color,Dolby Digital,2.35 : 1
Reservoir Dogs,1992,99,R,1200000,2832029,147839,1992-10-25 00:00:00,2930208,Color,Dolby Stereo Dolby Digital,2.35 : 1
Lawrence of Arabia,1962,218,PG,15000000,45306425,20846,2002-09-22 00:00:00,45752380,,,
Incendies,2010,131,R,6800000,2071334,50679,2011-04-24 00:00:00,6797861,Color,Dolby Digital,1.85 : 1
Scarface,1983,170,R,50000000,45967303,4597536,1983-12-11 00:00:00,66443303,Color,4-Track Stereo,2.39 : 1
Vertigo,1958,128,PG,2479000,7705225,252880,2018-03-18 00:00:00,7808250,,,
Full Metal Jacket,1987,116,R,30000000,46357676,2217307,1987-06-28 00:00:00,50187505,,,
Amélie,2001,122,R,10000000,33712444,136470,2001-11-04 00:00:00,174926751,Color Black and White,DTS Dolby Digital,2.39 : 1
To Kill a Mockingbird,1962,129,Approved,2000000,592237,357549,2019-03-24 00:00:00,599146,Black and White,Dolby Digital,1.85 : 1
A Separation,2011,123,PG-13,500000,7099055,59481,2012-01-01 00:00:00,22926076,Color,Dolby Digital,1.85 : 1
Metropolis,1927,153,Not Rated,6000000,1236166,19386,2002-07-14 00:00:00,1350322,,,
Snatch,2000,102,R,6000000,30328156,27932,2000-12-10 00:00:00,83557872,Color,Dolby Digital SDDS Dolby Atmos,1.85 : 1
Bicycle Thieves,1948,89,Not Rated,133000,371111,25377,1998-10-04 00:00:00,450159,Black and White,Mono,1.37 : 1
Taxi Driver,1976,114,R,1300000,28262574,116458,1996-02-19 00:00:00,28579636,,,
Downfall,2004,156,R,13500000,5509040,18195,2005-02-20 00:00:00,92181574,Color,Dolby Digital DTS,1.85 : 1
All About Eve,1950,138,Approved,1400000,63463,10177,2000-10-08 00:00:00,154501,,,
There Will Be Blood,2007,158,R,25000000,40222514,190739,2007-12-30 00:00:00,76186224,Color,SDDS Dolby Digital DTS,2.39 : 1
Casino,1995,178,R,52000000,42512375,9946480,1995-11-26 00:00:00,116112375,Color,DTS-Stereo DTS,2.39 : 1
Ran,1985,160,R,11500000,4135750,3567,2000-07-02 00:00:00,4166319,,,
Pan's Labyrinth,2006,118,R,19000000,37646380,568641,2006-12-31 00:00:00,83863565,Color,DTS Dolby Digital SDDS Dolby Surround 7.1,1.85 : 1
The Thing,1982,109,R,15000000,19857465,3107897,1982-06-27 00:00:00,19872469,,,
The Treasure of the Sierra Madre,1948,126,Approved,3000000,5014000,144074,2018-01-14 00:00:00,5014000,,,
Monty Python and the Holy Grail,1975,91,PG,229575,2562392,45487,2001-06-17 00:00:00,2817496,,,
Rashomon,1950,88,Not Rated,250000,46808,15942,2002-07-28 00:00:00,117668,,,
Dial M for Murder,1954,105,PG,1400000,24845,12562,1999-04-11 00:00:00,43308,,,
Lock Stock and Two Smoking Barrels,1998,107,R,960000,3753929,143321,1999-03-07 00:00:00,3753929,Color,Dolby Digital,1.85 : 1
The Secret in Their Eyes,2009,129,R,2000000,6391436,167866,2010-04-18 00:00:00,35079650,Color,Dolby Digital,2.35 : 1
Raging Bull,1980,129,R,18000000,23383987,128590,1980-11-16 00:00:00,23405198,Black and White Color,Dolby Stereo,1.85 : 1
Trainspotting,1996,93,R,1500000,16491080,262673,1996-07-21 00:00:00,16970564,Color,Dolby SR,1.85 : 1
Fargo,1996,98,R,7000000,24611975,730265,1996-03-10 00:00:00,60611975,Color,Dolby SR,1.85 : 1
Warrior,2011,140,PG-13,25000000,13657115,5242107,2011-09-11 00:00:00,23308615,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby Atmos,2.35 : 1
My Neighbor Totoro,1988,86,G,3700000,2250213,539245,2018-09-30 00:00:00,30695952,,,
Children of Heaven,1997,89,PG,180000,933933,20100,1999-01-24 00:00:00,933933,Color,Mono,1.85 : 1
Blade Runner,1982,117,R,28000000,32914489,6150002,1982-06-27 00:00:00,41757237,Color,Dolby Atmos,2.39 : 1
Before Sunrise,1995,101,R,2500000,5535405,1423537,1995-01-29 00:00:00,5993086,,,
Memories of Murder,2003,132,Not Rated,2800000,15357,4487,2005-07-17 00:00:00,1208481,Color,Dolby Digital,1.85 : 1
In the Name of the Father,1993,133,R,13000000,25096862,109805,1994-01-02 00:00:00,65796862,Color,Dolby Stereo DTS,1.85 : 1
Wild Tales,2014,122,R,3300000,3106530,85100,2015-02-22 00:00:00,31478893,Color,Dolby Surround 7.1,2.35 : 1
Mr. Smith Goes to Washington,1939,129,Approved,1900000,144738,83205,2018-10-14 00:00:00,145941,,,
The Big Lebowski,1998,117,R,15000000,19301403,5533844,1998-03-08 00:00:00,48066229,Color,DTS Dolby Digital SDDS,1.85 : 1
Room,2015,118,R,13000000,14677654,118298,2015-10-18 00:00:00,35402766,Color,Dolby Digital Datasat Dolby Atmos,2.35 : 12.39 : 1
Spotlight,2015,129,R,20000000,45055776,295009,2015-11-08 00:00:00,98690254,Color,Dolby Digital,1.85 : 1
Hotel Rwanda,2004,121,PG-13,17500000,23530892,100091,2004-12-26 00:00:00,33882243,Color,DTS Dolby Digital,2.35 : 1
The Terminator,1984,107,R,6400000,38371200,4020663,1984-10-28 00:00:00,78371200,Color,Mono,1.85 : 1
Before Sunset,2004,80,R,2700000,5820649,219425,2004-07-04 00:00:00,15855022,Color,DTS Dolby Digital SDDS,1.85 : 1
Rush,2013,123,R,38000000,26947624,187289,2013-09-22 00:00:00,96992516,Color,Dolby Digital Datasat SDDS,2.35 : 1
The Wizard of Oz,1939,102,G,2777000,24668669,5354311,1998-11-08 00:00:00,25637669,,,
Into the Wild,2007,148,R,15000000,18354356,212440,2007-09-23 00:00:00,56676733,Color,DTS Dolby Digital SDDS,2.39 : 1
The Battle of Algiers,1966,121,Not Rated,800000,879794,64870,2004-01-11 00:00:00,962002,Black and White,Mono,1.85 : 1
Amores Perros,2000,154,R,2000000,5408467,61047,2001-04-01 00:00:00,20908467,Color,Dolby Digital,1.85 : 1
The Iron Giant,1999,86,PG,70000000,23315035,5732614,1999-08-08 00:00:00,23336504,,,
