Name,Year,Durasi(Menit),Rating
1. The Shawshank Redemption,1994,142,R
2. The Godfather,1972,175,R
3. The Dark Knight,2008,152,PG-13
4. The Godfather Part II,1974,202,R
5. 12 Angry Men,1957,96,Approved
6. Schindler's List,1993,195,R
7. The Lord of the Rings: The Return of the King,2003,201,PG-13
8. Pulp Fiction,1994,154,R
9. The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13
10. The Good the Bad and the Ugly,1966,178,R
11. Forrest Gump,1994,142,PG-13
12. The Lord of the Rings: The Two Towers,2002,179,PG-13
13. Fight Club,1999,139,R
14. Inception,2010,148,PG-13
15. Star Wars: Episode V - The Empire Strikes Back,1980,124,PG
16. The Matrix,1999,136,R
17. Goodfellas,1990,145,R
18. One Flew Over the Cuckoo's Nest,1975,133,R
19. Se7en,1995,127,R
20. Interstellar,2014,169,PG-13
21. It's a Wonderful Life,1946,130,PG
22. Seven Samurai,1954,207,Not Rated
23. The Silence of the Lambs,1991,118,R
24. Saving Private Ryan,1998,169,R
25. City of God,2002,130,R
26. Life Is Beautiful,1997,116,PG-13
27. The Green Mile,1999,189,R
28. Terminator 2: Judgment Day,1991,137,R
29. Star Wars: Episode IV - A New Hope,1977,121,PG
30. Back to the Future,1985,116,PG
31. Spirited Away,2001,125,PG
32. Dune: Part Two,2024,166,PG-13
33. The Pianist,2002,150,R
34. Parasite,2019,132,R
35. Psycho,1960,109,R
36. Gladiator,2000,155,R
37. Spider-Man: Across the Spider-Verse,2023,140,PG
38. The Lion King,1994,88,G
39. The Departed,2006,151,R
40. Léon: The Professional,1994,110,R
41. American History X,1998,119,R
42. Whiplash,2014,106,R
43. The Prestige,2006,130,PG-13
44. Grave of the Fireflies,1988,89,Not Rated
45. Harakiri,1962,133,Not Rated
46. The Usual Suspects,1995,106,R
47. Casablanca,1942,102,PG
48. The Intouchables,2011,112,R
49. Cinema Paradiso,1988,174,PG
50. Modern Times,1936,87,G
51. Rear Window,1954,112,PG
52. Once Upon a Time in the West,1968,166,PG-13
53. Alien,1979,117,R
54. City Lights,1931,87,G
55. Django Unchained,2012,165,R
56. Apocalypse Now,1979,147,R
57. Memento,2000,113,R
58. WALL·E,2008,98,G
59. 12th Fail,2023,147,Not Rated
60. Raiders of the Lost Ark,1981,115,PG
61. The Lives of Others,2006,137,R
62. Sunset Boulevard,1950,110,Approved
63. Avengers: Infinity War,2018,149,PG-13
64. Paths of Glory,1957,88,Approved
65. Spider-Man: Into the Spider-Verse,2018,117,PG
66. Witness for the Prosecution,1957,116,Approved
67. The Shining,1980,146,R
68. The Great Dictator,1940,125,G
69. Aliens,1986,137,R
70. Inglourious Basterds,2009,153,R
71. The Dark Knight Rises,2012,164,PG-13
72. Coco,2017,105,PG
73. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG
74. Oldboy,2003,120,R
75. Amadeus,1984,160,PG
76. American Beauty,1999,122,R
77. Toy Story,1995,81,G
78. Avengers: Endgame,2019,181,PG-13
79. Das Boot,1981,149,Not Rated
80. Braveheart,1995,178,R
81. Good Will Hunting,1997,126,R
82. Princess Mononoke,1997,134,PG-13
83. Joker,2019,122,R
84. Your Name.,2016,106,Not Rated
85. High and Low,1963,143,Not Rated
86. Once Upon a Time in America,1984,229,R
87. 3 Idiots,2009,170,PG-13
88. Singin' in the Rain,1952,103,G
89. Capernaum,2018,126,R
90. Come and See,1985,142,Not Rated
91. Requiem for a Dream,2000,102,NC-17
92. Toy Story 3,2010,103,G
93. Star Wars: Episode VI - Return of the Jedi,1983,131,PG
94. Eternal Sunshine of the Spotless Mind,2004,108,R
95. The Hunt,2012,115,R
96. 2001: A Space Odyssey,1968,149,G
97. Reservoir Dogs,1992,99,R
98. Ikiru,1952,143,Not Rated
99. Oppenheimer,2023,180,R
100. Lawrence of Arabia,1962,218,PG
101. The Apartment,1960,125,Approved
102. Incendies,2010,131,R
103. North by Northwest,1959,136,Approved
104. Citizen Kane,1941,119,PG
105. M,1931,99,Passed
106. Scarface,1983,170,R
107. Double Indemnity,1944,107,Approved
108. Vertigo,1958,128,PG
109. Full Metal Jacket,1987,116,R
110. Amélie,2001,122,R
111. Heat,1995,170,R
112. Up,2009,96,PG
113. A Clockwork Orange,1971,136,R
114. To Kill a Mockingbird,1962,129,Approved
115. A Separation,2011,123,PG-13
116. The Sting,1973,129,PG
117. Indiana Jones and the Last Crusade,1989,127,PG-13
118. Die Hard,1988,132,R
119. Like Stars on Earth,2007,162,PG
120. Metropolis,1927,153,Not Rated
121. Snatch,2000,102,R
122. L.A. Confidential,1997,138,R
123. 1917,2019,119,R
124. Hamilton,2020,160,PG-13
125. Bicycle Thieves,1948,89,Not Rated
126. Taxi Driver,1976,114,R
127. Downfall,2004,156,R
128. Dangal,2016,161,Not Rated
129. For a Few Dollars More,1965,132,R
130. Batman Begins,2005,140,PG-13
131. The Wolf of Wall Street,2013,180,R
132. Some Like It Hot,1959,121,Approved
133. Green Book,2018,130,PG-13
134. The Kid,1921,68,Passed
135. The Father,2020,97,PG-13
136. Judgment at Nuremberg,1961,179,Approved
137. The Truman Show,1998,103,PG
138. All About Eve,1950,138,Approved
139. Shutter Island,2010,138,R
140. Top Gun: Maverick,2022,130,PG-13
141. There Will Be Blood,2007,158,R
142. Casino,1995,178,R
143. Jurassic Park,1993,127,PG-13
144. Ran,1985,160,R
145. The Sixth Sense,1999,107,PG-13
146. Pan's Labyrinth,2006,118,R
147. Unforgiven,1992,130,R
148. No Country for Old Men,2007,122,R
149. A Beautiful Mind,2001,135,PG-13
150. The Thing,1982,109,R
151. Kill Bill: Vol. 1,2003,111,R
152. The Treasure of the Sierra Madre,1948,126,Approved
153. Yojimbo,1961,110,Not Rated
154. Monty Python and the Holy Grail,1975,91,PG
155. The Great Escape,1963,172,Approved
156. Finding Nemo,2003,100,G
157. Prisoners,2013,153,R
158. Howl's Moving Castle,2004,119,PG
159. Rashomon,1950,88,Not Rated
160. The Elephant Man,1980,124,PG
161. Dial M for Murder,1954,105,PG
162. Chinatown,1974,130,R
163. Gone with the Wind,1939,238,G
164. Lock Stock and Two Smoking Barrels,1998,107,R
165. V for Vendetta,2005,132,R
166. The Secret in Their Eyes,2009,129,R
167. Inside Out,2015,95,PG
168. Raging Bull,1980,129,R
169. Three Billboards Outside Ebbing Missouri,2017,115,R
170. Trainspotting,1996,93,R
171. The Bridge on the River Kwai,1957,161,PG
172. Klaus,2019,96,PG
173. Fargo,1996,98,R
174. Catch Me If You Can,2002,141,PG-13
175. Spider-Man: No Way Home,2021,148,PG-13
176. Warrior,2011,140,PG-13
177. Gran Torino,2008,116,R
178. Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13
179. Million Dollar Baby,2004,132,PG-13
180. My Neighbor Totoro,1988,86,G
181. Children of Heaven,1997,89,PG
182. 12 Years a Slave,2013,134,R
183. Ben-Hur,1959,212,G
184. Blade Runner,1982,117,R
185. Before Sunrise,1995,101,R
186. Barry Lyndon,1975,185,PG
187. The Grand Budapest Hotel,2014,99,R
188. Mad Max: Fury Road,2015,120,R
189. Gone Girl,2014,149,R
190. Hacksaw Ridge,2016,139,R
191. Dead Poets Society,1989,128,PG
192. The Gold Rush,1925,95,Approved
193. Memories of Murder,2003,132,Not Rated
194. In the Name of the Father,1993,133,R
195. Wild Tales,2014,122,R
196. Monsters Inc.,2001,92,G
197. The Deer Hunter,1978,183,R
198. The General,1926,78,Passed
199. On the Waterfront,1954,108,Approved
200. Sherlock Jr.,1924,0,Passed
201. How to Train Your Dragon,2010,98,PG
202. Jaws,1975,124,PG
203. Mary and Max,2009,92,Not Rated
204. The Third Man,1949,93,Approved
205. The Wages of Fear,1953,131,Not Rated
206. Ratatouille,2007,111,G
207. Wild Strawberries,1957,91,Not Rated
208. Mr. Smith Goes to Washington,1939,129,Approved
209. Ford v Ferrari,2019,152,PG-13
210. Tokyo Story,1953,136,Not Rated
211. The Big Lebowski,1998,117,R
212. Rocky,1976,120,PG
213. The Seventh Seal,1957,96,Not Rated
214. Room,2015,118,R
215. Logan,2017,137,R
216. Spotlight,2015,129,R
217. Hotel Rwanda,2004,121,PG-13
218. The Terminator,1984,107,R
219. Platoon,1986,120,R
220. The Passion of Joan of Arc,1928,114,Passed
221. La haine,1995,98,Not Rated
222. Before Sunset,2004,80,R
223. Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13
224. The Best Years of Our Lives,1946,170,Approved
225. Jai Bhim,2021,164,Approved
226. The Exorcist,1973,122,R
227. Rush,2013,123,R
228. Network,1976,121,R
229. The Wizard of Oz,1939,102,G
230. Stand by Me,1986,89,R
231. The Incredibles,2004,115,PG
232. Hachi: A Dog's Tale,2009,93,G
233. My Father and My Son,2005,112,Not Rated
234. The Handmaiden,2016,145,Not Rated
235. The Sound of Music,1965,172,G
236. Into the Wild,2007,148,R
237. To Be or Not to Be,1942,99,Approved
238. The Battle of Algiers,1966,121,Not Rated
239. The Grapes of Wrath,1940,129,Approved
240. Groundhog Day,1993,101,PG
241. Amores Perros,2000,154,R
242. The Iron Giant,1999,86,PG
243. Rebecca,1940,130,Approved
244. Cool Hand Luke,1967,127,Approved
245. The Help,2011,146,PG-13
246. It Happened One Night,1934,105,Approved
247. Drishyam,2015,163,Not Rated
248. Dances with Wolves,1990,181,PG-13
249. Aladdin,1992,90,G
250. Scent of a Woman,1992,156,R